GLOBAL GENERAL TRADING COMPANY,"28W9+Q7F, BAKARO",PVC industry,+252 6 1200097,,
SAMO PHARMA,"27HF+WX5, Jaale Siyaad Rd",Pharmaceutical company,+252 61 2329292,,
BARWAAQO DRUG COMPANY,382C+JP5,Pharmaceutical company,,,
Ocean oil lubricant company,"27PX+7JV, Jidka Afgooye",Oil Wholesaler,+252 61 4088887,,
High Quality Drug Company,382C+VJ9,Pharmaceutical company,+252 63 8991400,,
Arliin General Trading Company,Liberia Road,Manufacturer,+252 61 9567069,http://www.agtcworldwide.weebly.com/,
Smart Group Co,Bakara market,Food products supplier,+252 61 3554949,,
Nasiye Trading Company,"382G+H7R, W 21ka Nofeembar",Business center,+252 61 9222424,,
Awale Drilling Company & Engineering Constructor,Wadada Barre,Well drilling contractor,Open ⋅ Closes 4:30 pm,https://awalecompany.so/,
Axsan Drug Co.,"382C+QR3, Unnamed Road",Pharmaceutical company,+252 6 1602348,,
S.Y.L Pharmaceutical Co.,Suuqa Daawada Bakaaro,Pharmaceutical company,+252 61 5502102,,
Shifaa Pharmacy,W 21ka Nofeembar,Pharmaceutical company,+252 61 9995530,https://xarunta-abaahurayra-bakaro-dhabarka.business.site/?utm_source=gmb&utm_medium=referral,
Mogadishu,"28J8+XXC, Makkah Almukarramah Ave",Warehouse,+252 61 6676541,,
Daldhis Factory,"28H2+8WR, Unnamed Road",Aluminium Supplier,+252 61 5530749,http://daldhisfactory.com/,
Restaurant Food supplies,KM4,Food products supplier,Open ⋅ Closes 6 pm,,
Haji Daauud,375X+8J9,Home automation company,,,
Diraac company,395H+WM5,Community center,+90 535 508 49 71,,
Hadiid Industries Group,28W9+Q7F,Manufacturer,,,
Daud Printing Company,382J+4V2,Print shop,+252 61 9552811,,
Life care pharmacy,382C+PGW,Pharmaceutical company,,,
Ewaydii,Makkah Almukaramah street,E-commerce service,+252 61 3222212,,
Fahad Pharmaceutical.co,28W9+Q7F,Pharmaceutical company,Open ⋅ Closes 5 pm,,
WaaraxBulding,27GP+J7J,Home automation company,+252 61 3624040,,
Micraaj General Trading Company,"2.0528989,45.3246888",Store,+252 61 5489501,https://micraaj-general-trading-company.business.site/?utm_source=gmb&utm_medium=referral,
Mogadishu Power Supply,21 November Street Opposite Abu Huraira Mosque Mogadishu BN,Electric utility company,+252 61 5107740,https://www.muqdishopower.com/,info@muqdishupower.com
HAWADAY GENERAL TRADING IMPORT AND EXPORT COMPANY,"28JG+82H, Wadada Uganda",Food Processing Company,+252 68 2045350,,
Alfaraj General Trading,"28W9+P83, Bulaale Street",Cosmetics and perfumes supplier,+252 61 6799911,,
Haajara Group,"3rd Floor Sultan Business Park, 21st October Road, Wadada Waaberi",Corporate office,+252 61 0382713,http://haajaragroup.com/,
Orange care & health solutions,382C+CG7,Pharmaceutical company,+252 61 3602010,,
EX-WARSHADA ISBUUNYADA GARGAAR,2892+PM6,Manufacturer,,,
Warshadda Biyaha Hayat-Hayat Mineral water company,"27RF+5JV, Wadada Warshadaha ,Xaafada Xoosh, Degmada",Mineral water company,+252 61 5575104,,
ROYAL GROUP OF COMPANIES LTD,,Food products supplier,+252 61 5541356,,
Xarunta Isgoyska Taleex,"28J7+M47, Makkah Almukarramah Ave",Pharmaceutical company,+252 61 4775555,,
New alfaraj drug company,28W9+6VH,Pharmaceutical company,,,
Maalin guur,"28W2+7RF, Isgooska bakaaraha Road",Furniture maker,+252 61 8557165,,
Saada abdikariin,"Al-Quds St, siigaale",Home automation company,+252 61 7457535,,
Somali Meat Company,maka al mukarama street,Chicken & Mutton Shop,+252 61 2784444,,
OSHACO Garage Yard,28P2+H2X,Road Contractor,+252 61 6992328,,
Agaasin Events,"28J5+P5V, Wadada Garoonka Diyaaradaha",Event management company,+252 61 2888813,,
Dahabo,,Flour mill,+252 61 9999650,,
biolab diagnostic,"28WC+JRC, Wadada Wadnaha",Manufacturer,,,
BEDER PRINTING HOUSE,28H5+Q63,Print shop,+252 61 6459003,http://www.bederprinting.so/,
Asal qaxwa & xawaashka ankara,W Siinaay,Food seasoning manufacturer,+252 61 4444199,,
SOMCARE GT Pharmaceutical distributor # Somalia Market,Bakaaro Market,Pharmaceutical company,+252 1 653705,https://www.somcaregt.com/,admin@somcaregt.com
Golden Mall Furniture,"28Q3+WF7, dugfeer street, Digfeer Rd",Furniture maker,+252 85 1304,,
Naciima mukhtar,28R9+R8R,Home automation company,,,
Dahir Seyruuq,"388J+5XR, Dahir Seyruuq House,Ganbarada Road",Home automation company,Open 24 hours,,
Yenisom Healthcare,"KM4, Tarbuunka Road",Pharmaceutical company,+252 85 8000,http://www.yenisom.com/,info@yenisom.com
Suudi Printing,"28Q3+WF7, Digfeer Rd",Print shop,+252 61 6569992,,
Badbaado General Trading Go,"3829+5QP, Unnamed Road",Furniture maker,+252 61 5516562,,
Nabila General Company,W Howlwadaag,Car Manufacturer,+252 61 0443310,,
Warshadda Al naciim,27RF+8HQ,Manufacturer,,,
Soomaal Print,28P2+6FQ,Print shop,+252 61 8996088,,
Beder Printing House,382G+64M,Print shop,+252 61 6459005,http://www.bederprinting.so/,
Sirmaqabe production,Jaale Siyaad Rd,Movie studio,+252 61 5579417,https://m.facebook.com/sirmaqabe2021/?tsid=0.2456188751070596&source=result,
Xaafada shiirkole,3857+GC,Manufacturer,,,
Bazi Shoes Company,dabka junction,Shoe factory,+252 61 7077007,,
Kulmis cosmettics,"28R5+CF5, Wadada Wadnaha",Cosmetic Products Manufacturer,,,
Somprint,Airport Road,Print shop,+252 61 7217770,http://www.somprint.com/,info@somprint.com
Laila Consumer Product LTD,"28W9+Q7F, Maalin Taajir Road",Food products supplier,+252 61 5849367,,
Laaska,28C7+Q98,Manufacturer,,,
kooli pharmacy,"28W9+Q7F, Abashinho.Road",Pharmaceutical company,+252 61 5592229,,
Pharmcy Kismaayo,279R+XWM,Pharmaceutical company,,,
Macquul electronices,"macquull electroncs, W Bakaaraha",Electronics Company,+252 61 9944441,,
Himilo Solutions,Makka Almukarama Street,Software company,+252 61 5597177,,
sompack,38GH+5CF,Manufacturer,,,
Abdinasir Abdulahi,28W9+Q7F Bula Xubey,Food manufacturer,,,
Warshada dhuxusha somaliya,"28V6+329 Tarabuunka, Jidka Tarabuunka",Glass industry,+252 61 4893030,,
CEELKA BIYAHA DUR DUR,"38JR+8PQ, Near, Jidka Warshaddaha",Water works equipment supplier,+252 61 2222261,http://www.durdur.water.com/,
Yusra shopping&cosmatics,384F+676,Cosmetic Products Manufacturer,+252 61 5598120,,
Shamo Aluminium,28W9+Q7F,Aluminium Supplier,,,
Mogadishu Tower,382G+26H,Apartment building,,,
Guriga Mr-Miyaaaaaa,27HF+QC4,Home automation company,+252 61 5213726,,
Somnet Telecom,28W9+Q7F,Telecommunications equipment supplier,+252 68 5587076,,
Naadiye LLC.,"28P3+FXX, KM5",Corporate office,+252 61 5005502,https://www.naadiye.com/,
Enaayo,28PQ+9FF,Power station,,,
Bilan Modern,"KM7, Ex-Control Afgoye",Aluminium Supplier,+252 61 4555586,,
Bardheere Electoronic,27F9+CQ4,Home automation company,+252 61 8862111,,
SAB KARIYE SERVICE PUBLIC,28W9+Q7F,Food Processing Company,+252 61 8756010,,
ARAMEX SOMALIA,"Hayat Mall, W Taleex",Courier service,+252 61 7056707,https://aramex-somalia.business.site/?m=true,
KAAYKAAY GROUP - of Companies,"Wadada warshada, isgoys ka Deyniile, ka sohorjedka kulyada Jaalle siyaad",Equipment Importer,+252 61 5240633,https://kaaykaaygroup.com/,
Cawaale 2 Pharmacy,"28XG+75M, W Howlwadaag",Pharmaceutical company,+252 61 5556360,,
Elem food supplier,Hodan isgoyska bakaaraha,Food broker,+252 61 1657841,,
EpicaStar SO,"383F+RRG, W 21ka Nofeembar",Tool manufacturer,+252 61 5502760,,
Saxaaba Modern Pharmacy,"28P2+MP5, Digfeer Rd",Pharmaceutical lab,+252 61 3405050,,
Ma Laguu Warramay podcast,"28M6+WPP, W Taleex",Media company,+252 61 9190009,,
Beder Printing House Trepiano,"28J7+R9P, Trepiano Hodan District",Print shop,+252 61 9782209,http://www.bederprinting.so/,
Bayan Software Company,28X9+WPH,Software company,+252 61 9167329,,
Horseed Pharmaceutical Company,Mohamuud Harbi Street Mogadishu,Pharmaceutical company,+252 61 5839614,,
SomGrain Company Ltd,Afgooye Street,Flour mill,+252 61 3400900,http://somgrain.so/,
BARWAAQO DRUG COMPANY,382C+JP5,Pharmaceutical company,,,
Asas Group,28PF+996,Real Estate Builders & Construction Company,+252 61 9996199,https://asasgroup.so/,
Gateway Technologies Somalia LLC.,"Samsung Building, Makkah Almukarramah Ave",Software company,+252 61 8333365,https://gateway-technologies-somalia.business.site/?utm_source=gmb&utm_medium=referral,
Rasmi Pharmaceutical Co,"382C+RCG, Mohamud Harbi Street",Pharmaceutical company,+252 1 651786,,
IJAABO WATER,"Opposite Ibnu-khuzayma Primary & Secondary school Yaqshiid District, Behind Coca cola company",Mineral water company,,https://www.ijaabowater.so/,info@ijaabowater.com
Asal Solutions,"28H4+JXQ, Wadada Garoonka Diyaaradaha",Software company,+252 1 852929,http://www.asalsolutions.com/,
BlueLight Technologies - Somalia,"Al Mukkarrama Street, Makka",Software company,+252 61 7637507,,
Tayo-san Pharmaceutical Import Co,"H369+QQM, Arwada Road",Pharmaceutical company,+252 63 4682424,,
Al Ikwa General Trading Company,"H369+JV7, Police Rd",Food Processing Company,+252 63 3217381,https://www.duluthtrading.com/,
SOMCARE GT Pharmaceutical distributor # Somalia Market,Bakaaro Market,Pharmaceutical company,+252 1 653705,https://www.somcaregt.com/,admin@somcaregt.com
Abuubakar Sadiiq Pharmaceutical company,382C+R9,Pharmaceutical company,+252 61 5504447,http://www.abuubakarsadiiq.so/,
Beder Pharmaceutical Import co.,H379+7H5,Pharmaceutical company,+252 63 4421870,,
NUREYN CO.,276W+422,Real Estate Builders & Construction Company,+252 69 5999200,,
National Drilling Company LTD,Hodan Garowe BK,Real Estate Builders & Construction Company,+252 61 5984060,http://www.nadco.so/,
SANAAG CONSTRUCTION AND LOGISTICS,75JC+FXF,Real Estate Builders & Construction Company,+252 907 396 300,,
Moumin Technology Ltd.,Rd Number 1,Software company,+252 63 4633020,https://abdirahmanmoumin.godaddysites.com/,"micah@micahrich.com, filler@godaddy.com"
SOMCARE GENERAL TRADING,"385H+7GG, Jidka Sodonka",Pharmaceutical company,+252 1 653705,,
Somacco,H378+92V,Real Estate Builders & Construction Company,+252 63 4423505,,
Abraan pharmaceutical company,"27CQ+MJ9, W Jaale Siyaad",Pharmaceutical company,+252 61 5088180,http://www.abraan.com/,
Sahan Services Group,Maka almukarama road,Real Estate Builders & Construction Company,+252 61 3955933,http://www.sahanservices.com/,hello@reallygreatsite.com
City for construction company,"382G+H8H, W 21ka Nofeembar",Real Estate Builders & Construction Company,+252 61 5516886,,
Moumin Pharma,H379+9P2,Pharmaceutical company,+252 63 3800842,,
Anfaal Engineering,"Makkah Almukarramah Road, Dabka، Mogadishu Mogadishu BN BR",Real Estate Builders & Construction Company,+252 61 1000300,http://anfaal.so/,
MSC MEDITERRANEAN SHIPPING COMPANY (SOMALIA) LTD,"Villa Opp Ministry of Foreign Affairs Road, KM5 Road",Shipping company,+252 61 7051109,http://www.msc.com/,"info@msc.com, ind-info@msc.com"
Daltus Technologies Ltd,"Olow tower, Makkah Almukarramah Road",Software company,+252 61 9874477,,
ALLA-AMIN PHARMACEUTICAL IMPORT COMPANY HEADQUARTER,"9°34'21.8""N 44°03'53.2""E 9.572712, 44.064768",Pharmaceutical company,+252 63 4865513,https://alla-amin-pharmaceutical-import-company.business.site/?utm_source=gmb&utm_medium=referral,
Daryeel Construction Co.,H37F+66V,Real Estate Builders & Construction Company,+252 63 3335116,http://www.daryeel.com/,info@daryeel.com
Yooltech,"Via Liberia, Waaberi, District",Software company,+252 61 2424244,https://yooltech.com/,info@yooltech.com
BILMA Technologies,"28W9+Q7F, Bula hubey",Software company,+252 61 2222694,,
Dalbil Wood & Marble Construction Company,W Taleex,Real Estate Builders & Construction Company,+252 61 9730212,,
Horseed Pharmaceutical Company,Mohamuud Harbi Street Mogadishu,Pharmaceutical company,+252 61 5839614,,
Mucjib,W Taleex,Software company,+252 61 0688044,http://www.mucjib.com/,"info@mucjib.com, first.last@email.com"
Future Star,"AAIA, TGL",Real Estate Builders & Construction Company,+252 61 8557455,http://futurestar-group.com/,Info@Futurestar-group.com
Rasmi Pharmaceutical Co,"382C+RCG, Mohamud Harbi Street",Pharmaceutical company,+252 1 651786,,
DAUD PRINTING COMPANY,"28M6+3XH, Near Premier Bank W Taleex",Print shop,+252 61 9552811,,
SomGrain company ltd,"3757+HQ9, Unnamed Road",Mill,+252 61 1106697,,
Kilimanjaro company,382C+MG,Pharmaceutical company,+252 61 5574057,,
Intifac Enterprises,382C+MF8,Pharmaceutical company,+252 61 6334282,,
Bargaan Group Limited,"28PF+4RR, Maka almukarama road",Real Estate Builders & Construction Company,Closed ⋅ Opens 8 am Wed,,
Company,"277R+896, Dharkrynley",Business administration service,+252 61 2665949,,
Absad trading company,"28X7+H64, Casapoplare Rd",Manufacturer,+252 61 4901358,,
Axzaab pharmaceuticals co.,"28RC+3P7, W Bakaaraha",Pharmaceutical company,,,
Abuubakar Sadiiq Pharmaceutical company,382C+R9,Pharmaceutical company,+252 61 5504447,http://www.abuubakarsadiiq.so/,
Bayan Software Company,28X9+WPH,Software company,+252 61 9167329,,
Bilad General Trading Company,KM-4,Food broker,+252 62 7483938,,
Mogadishu Modern Medical Company,WADADA MAKA AL MUKARAMA,Pharmaceutical company,+252 61 2680008,,
Alami Construction & Logistic company,28W9+Q7F,Real Estate Builders & Construction Company,,,
Anfac Construction Company,"Kaaraan ee jiirada, Waddada wadnaha isgoyska",Real Estate Builders & Construction Company,+252 61 4495637,https://anfac-construction-company.business.site/?utm_source=gmb&utm_medium=referral,
BARWAAQO DRUG COMPANY,382C+JP5,Pharmaceutical company,,,
asad drug company,382C+FFR,Pharmaceutical company,+252 61 7093466,,
NASTEEXO NALKA,"27RV+86C, Jidka Afgooye",Home automation company,+252 61 5774049,,
madar designer,,Software company,+252 61 4480267,https://zakimaddar.com/,
Jadiin Food Processing Company,"276Q+RW6, W Jaale Siyaad",Food Processing Company,+252 61 5929424,http://jadiin.so/,
dhisan group,"28W9+Q7F, 30 street",Real Estate Builders & Construction Company,+252 62 3668668,https://dhisan-group.business.site/?utm_source=gmb&utm_medium=referral,
GLOBAL GENERAL TRADING COMPANY,"28W9+Q7F, BAKARO",PVC industry,+252 6 1200097,,
Xaaji Gate Drug Co.,382C+GF7,Pharmaceutical company,,,
CashCare Solution,"28X9+QWF, W Bakaaraha",Pharmaceutical company,+252 61 1649642,,
Mogadishu Trading & Construction Company,28XG+PPQ,Real Estate Builders & Construction Company,+252 61 8882271,,
High Quality Drug Company,382C+VJ9,Pharmaceutical company,+252 63 8991400,,
Axsan Drug Co.,"382C+QR3, Unnamed Road",Pharmaceutical company,+252 6 1602348,,
Guuled business,Jaale Siyaad Rd,Cosmetic Products Manufacturer,+252 61 4457706,https://sites.google.com/view/ideeqaherbaloil/home,
SAMO PHARMA,"27HF+WX5, Jaale Siyaad Rd",Pharmaceutical company,+252 61 2329292,,
Arliin General Trading Company,Liberia Road,Manufacturer,+252 61 9567069,http://www.agtcworldwide.weebly.com/,
Asal Solutions,"28P6+HVG, Taleh Rd",Software company,Closed ⋅ Opens 8 am Wed,http://www.asalsolutions.com/,
Yool Pharma,Makka Al Mukaramma Road Mogadishu BN JH,Pharmaceutical company,+252 61 3363618,https://yoolpharma.com/,info@yoolpharma.com
Mataa Construction company,"27GJ+9P7, Jaale Siyaad Rd",Real Estate Builders & Construction Company,+252 62 8415494,,
Tursom Company Limited,"X7XC+FXQ, Jaziira Rd",Manufacturer,+252 61 7480724,http://www.tursomltd.com/,
Mogadishu General construction & Matrial Service company,makkah al-mukaramah km4,Real Estate Builders & Construction Company,+252 61 6405743,,
Banaadir Construction Company,"28J7+V4F Mogadishu hodan, W Taleex",Real Estate Builders & Construction Company,+252 61 1177950,http://banaadirconstruction.com/,"info@banaadirConstruction.com, info@banaadirconstruction.com"
Admin-office,"28XH+VWH, Wadada Wadnaha",Manufacturer,,,
BILMA Technologies,"28W9+Q7F, Bula hubey",Software company,+252 61 2222694,,
S.Y.L Pharmaceutical Co.,Suuqa Daawada Bakaaro,Pharmaceutical company,+252 61 5502102,,
Habraac Technology,,Software company,+252 61 1686200,https://habraac.so/,
Goorsan Pharmaceutical,Masjidka Daawada,Pharmaceutical company,+252 61 2723099,,
Daud Printing Company,382J+4V2,Print shop,+252 61 9552811,,
Haji Daauud,375X+8J9,Home automation company,,,
Shifaa Pharmacy,W 21ka Nofeembar,Pharmaceutical company,+252 61 9995530,https://xarunta-abaahurayra-bakaro-dhabarka.business.site/?utm_source=gmb&utm_medium=referral,
DHISMOGROUP ICT SOLUTIONS,"382F+5HM, Bulaale Street",Software company,+252 61 3222231,,
ASAL INDUSTRY,"DARU SALAM, MOGADISHU",Manufacturer,+252 61 1353333,,
Fahad Pharmaceutical.co,28W9+Q7F,Pharmaceutical company,Closed ⋅ Opens 7:30 am Wed,,
Life care pharmacy,382C+PGW,Pharmaceutical company,,,
MLSCC,"General Da'ud street ,KM5 zoobe Mogadishu",Logistics service,+252 61 9783331,,
ROYAL GROUP OF COMPANIES LTD,,Food products supplier,+252 61 5541356,,
Cida sarta,"3947+653, Unnamed Road",Home automation company,+252 61 2949915,,
sagal,Jidka Janaral Daud,Food products supplier,+252 61 8942244,,
New alfaraj drug company,28W9+6VH,Pharmaceutical company,,,
WaaraxBulding,27GP+J7J,Home automation company,+252 61 3624040,,
Golden Mall Furniture,"28Q3+WF7, dugfeer street, Digfeer Rd",Furniture maker,+252 85 1304,,
Ceelka Dayniile,379X+F8P,Manufacturer,,,
NATIONAL ANIMAL FEEDS&FADDER SUPPLY COMPANY (NAFS COM),384Q+XM,Manufacturer,+252 61 0707040,,
Saada abdikariin,"Al-Quds St, siigaale",Home automation company,+252 61 7457535,,
Abagado taxanuun mkn,"2778+83R, Unnamed Road",Home automation company,Closed ⋅ Opens 9 am Wed,,
Naciima mukhtar,28R9+R8R,Home automation company,,,
Alfaraj General Trading,"28W9+P83, Bulaale Street",Cosmetics and perfumes supplier,+252 61 6799911,,
Xarunta Isgoyska Taleex,"28J7+M47, Makkah Almukarramah Ave",Pharmaceutical company,+252 61 4775555,,
Orange care & health solutions,382C+CG7,Pharmaceutical company,+252 61 3602010,,
Misbaax Pharmacy,39P7+W9R,Pharmaceutical company,,,
UBC Coca-Cola,Madino waddada Kaawo Godey,Water purification company,+252 61 1000029,,
Hadiid Industries Group,28W9+Q7F,Manufacturer,,,
HAWADAY GENERAL TRADING IMPORT AND EXPORT COMPANY,"28JG+82H, Wadada Uganda",Food Processing Company,+252 68 2045350,,
Somali Meat Company,maka al mukarama street,Chicken & Mutton Shop,+252 61 2784444,,
Somprint,Airport Road,Print shop,+252 61 7217770,http://www.somprint.com/,info@somprint.com
AFAR ICE,39F2+9W3,Home automation company,+252 61 7742175,,
Restaurant Food supplies,KM4,Food products supplier,Closed ⋅ Opens 9 am Wed,,
Warshadda Biyaha Hayat-Hayat Mineral water company,"27RF+5JV, Wadada Warshadaha ,Xaafada Xoosh, Degmada",Mineral water company,+252 61 5575104,,
Bareejeye,383Q+989,Manufacturer,,,
Yenisom Healthcare,"KM4, Tarbuunka Road",Pharmaceutical company,+252 85 8000,http://www.yenisom.com/,info@yenisom.com
Bazi Shoes Company,dabka junction,Shoe factory,+252 61 7077007,,
Dahir Seyruuq,"388J+5XR, Dahir Seyruuq House,Ganbarada Road",Home automation company,Open 24 hours,,
Umul Qura Pharmacy,"39R8+2XJ, Jidka Waxaracadde",Pharmaceutical company,+252 61 9167790,,
Himilo Solutions,Makka Almukarama Street,Software company,+252 61 5597177,,
Guriga Mr-Miyaaaaaa,27HF+QC4,Home automation company,+252 61 5213726,,
EX-WARSHADA ISBUUNYADA GARGAAR,2892+PM6,Manufacturer,,,
Byteso Technology,21 November,Software company,+252 61 0997693,http://bytesotech.com/,
kooli pharmacy,"28W9+Q7F, Abashinho.Road",Pharmaceutical company,+252 61 5592229,,
Pharmcy Kismaayo,279R+XWM,Pharmaceutical company,,,
City ICT Solutions,"28M9+655, MAKA ALMUKKARAMA STREET",Software company,+252 61 3833271,http://www.cityict.so/,
Bardheere Electoronic,27F9+CQ4,Home automation company,+252 61 8862111,,
Nabila General Company,W Howlwadaag,Car Manufacturer,+252 61 0443310,,
Somfire protection,"387X+PX9, Maka almukarama Road",Fire protection equipment supplier,+252 61 8959700,http://www.somfire.com/,info@somfire.com
biolab diagnostic,"28WC+JRC, Wadada Wadnaha",Manufacturer,,,
Mogadishu,28R7+GR6,Home builder,,,
Badbaado General Trading Go,"3829+5QP, Unnamed Road",Furniture maker,+252 61 5516562,,
sompack,38GH+5CF,Manufacturer,,,
Kulmis cosmettics,"28R5+CF5, Wadada Wadnaha",Cosmetic Products Manufacturer,,,
Maalin guur,"28W2+7RF, Isgooska bakaaraha Road",Furniture maker,+252 61 8557165,,
Suudi Printing,"28Q3+WF7, Digfeer Rd",Print shop,+252 61 6569992,,
Laila Consumer Product LTD,"28W9+Q7F, Maalin Taajir Road",Food products supplier,+252 61 5849367,,
Cawaale 2 Pharmacy,"28XG+75M, W Howlwadaag",Pharmaceutical company,+252 61 5556360,,
Dr.mohamed Daahir Pharmacy,"28RH+V33, W, W Howlwadaag",Pharmaceutical company,+252 61 5312110,,
Sirmaqabe production,Jaale Siyaad Rd,Movie studio,+252 61 5579417,https://m.facebook.com/sirmaqabe2021/?tsid=0.2456188751070596&source=result,
Haajara Group,"3rd Floor Sultan Business Park, 21st October Road, Wadada Waaberi",Corporate office,+252 61 0382713,http://haajaragroup.com/,
Mogadishu power supply (Banadir branch),"28Q3+WF7, Digfeer Rd",Electric utility company,,,
Mogadishu food industries,38FP+5P,Manufacturer,,,
Warshadda Al naciim,27RF+8HQ,Manufacturer,,,
Hiigsi Advertising Agency,Km4 Waberi district,Advertising agency,+252 61 4933340,,
Dhiblaawe Pharmacy sanca,28XW+8PV، Tabeelaha jaceylka Degmada Shibis Mugadisho,Pharmaceutical company,+252 61 6000886,,
Tusmo Codes,"28WC+JRC, Wadada Wadnaha",Software company,,,
Asal qaxwa & xawaashka ankara,W Siinaay,Food seasoning manufacturer,+252 61 4444199,,
Horseed Pharmaceutical Company,Mohamuud Harbi Street Mogadishu,Pharmaceutical company,+252 61 5839614,,
Abuubakar Sadiiq Pharmaceutical company,382C+R9,Pharmaceutical company,+252 61 5504447,http://www.abuubakarsadiiq.so/,
Bayan Software Company,28X9+WPH,Software company,+252 61 9167329,,
SomGrain Company Ltd,Afgooye Street,Flour mill,+252 61 3400900,http://somgrain.so/,
BARWAAQO DRUG COMPANY,382C+JP5,Pharmaceutical company,,,
Rasmi Pharmaceutical Co,"382C+RCG, Mohamud Harbi Street",Pharmaceutical company,+252 1 651786,,
Tayo-san Pharmaceutical Import Co,"H369+QQM, Arwada Road",Pharmaceutical company,+252 63 4682424,,
Asas Group,28PF+996,Real Estate Builders & Construction Company,+252 61 9996199,https://asasgroup.so/,
IJAABO WATER,"Opposite Ibnu-khuzayma Primary & Secondary school Yaqshiid District, Behind Coca cola company",Mineral water company,,https://www.ijaabowater.so/,info@ijaabowater.com
Abraan pharmaceutical company,"27CQ+MJ9, W Jaale Siyaad",Pharmaceutical company,+252 61 5088180,http://www.abraan.com/,
Gateway Technologies Somalia LLC.,"Samsung Building, Makkah Almukarramah Ave",Software company,+252 61 8333365,https://gateway-technologies-somalia.business.site/?utm_source=gmb&utm_medium=referral,
Al Ikwa General Trading Company,"H369+JV7, Police Rd",Food Processing Company,+252 63 3217381,https://www.duluthtrading.com/,
Asal Solutions,"28H4+JXQ, Wadada Garoonka Diyaaradaha",Software company,+252 1 852929,http://www.asalsolutions.com/,
Beder Pharmaceutical Import co.,H379+7H5,Pharmaceutical company,+252 63 4421870,,
SOMCARE GT Pharmaceutical distributor # Somalia Market,Bakaaro Market,Pharmaceutical company,+252 1 653705,https://www.somcaregt.com/,admin@somcaregt.com
National Drilling Company LTD,Hodan Garowe BK,Real Estate Builders & Construction Company,+252 61 5984060,http://www.nadco.so/,
Moumin Pharma,H379+9P2,Pharmaceutical company,+252 63 3800842,,
SOMCARE GENERAL TRADING,"385H+7GG, Jidka Sodonka",Pharmaceutical company,+252 1 653705,,
NUREYN CO.,276W+422,Real Estate Builders & Construction Company,+252 69 5999200,,
Moumin Technology Ltd.,Rd Number 1,Software company,+252 63 4633020,https://abdirahmanmoumin.godaddysites.com/,"filler@godaddy.com, micah@micahrich.com"
Amaana Engineering,28J6+XX6,Real Estate Builders & Construction Company,+252 6 1874603,,
NASTEEXO NALKA,"27RV+86C, Jidka Afgooye",Home automation company,+252 61 5774049,,
Goorsan Pharmaceutical,Masjidka Daawada,Pharmaceutical company,+252 61 2723099,,
BULSHO KAAB BRANCH ONE DARUSALAM,,Food Processing Company,+252 61 3126060,https://bulsho-kaab-branch-one-darusalam.business.site/?utm_source=gmb&utm_medium=referral,
Wadaagsan Company LLC,Iftin plaze,Portable building manufacturer,+252 907 796 097,https://wadaagsan.so/,
